ファイル名=[LCLA-16M_SN取得_TESTP2_20161114101257_LCLA-16M.csv]
画像サイズ=(16920/500) 平均範囲=(0/16383)
LvlAve=[127.50]/SD_Ave=[0.000000]/SD_Max=[0.000000]at[0]pix
No.,LvAve,SD
0,0.00,0.000000
1,1.00,0.000000
2,2.00,0.000000
3,3.00,0.000000
4,4.00,0.000000
5,5.00,0.000000
6,6.00,0.000000
7,7.00,0.000000
8,8.00,0.000000
9,9.00,0.000000
10,10.00,0.000000
11,11.00,0.000000
12,12.00,0.000000
13,13.00,0.000000
14,14.00,0.000000
15,15.00,0.000000
16,16.00,0.000000
17,17.00,0.000000
18,18.00,0.000000
19,19.00,0.000000
20,20.00,0.000000
21,21.00,0.000000
22,22.00,0.000000
23,23.00,0.000000
24,24.00,0.000000
25,25.00,0.000000
26,26.00,0.000000
27,27.00,0.000000
28,28.00,0.000000
29,29.00,0.000000
30,30.00,0.000000
31,31.00,0.000000
32,32.00,0.000000
33,33.00,0.000000
34,34.00,0.000000
35,35.00,0.000000
36,36.00,0.000000
37,37.00,0.000000
38,38.00,0.000000
39,39.00,0.000000
40,40.00,0.000000
41,41.00,0.000000
42,42.00,0.000000
43,43.00,0.000000
44,44.00,0.000000
45,45.00,0.000000
46,46.00,0.000000
47,47.00,0.000000
48,48.00,0.000000
49,49.00,0.000000
50,50.00,0.000000
51,51.00,0.000000
52,52.00,0.000000
53,53.00,0.000000
54,54.00,0.000000
55,55.00,0.000000
56,56.00,0.000000
57,57.00,0.000000
58,58.00,0.000000
59,59.00,0.000000
60,60.00,0.000000
61,61.00,0.000000
62,62.00,0.000000
63,63.00,0.000000
64,64.00,0.000000
65,65.00,0.000000
66,66.00,0.000000
67,67.00,0.000000
68,68.00,0.000000
69,69.00,0.000000
70,70.00,0.000000
71,71.00,0.000000
72,72.00,0.000000
73,73.00,0.000000
74,74.00,0.000000
75,75.00,0.000000
76,76.00,0.000000
77,77.00,0.000000
78,78.00,0.000000
79,79.00,0.000000
80,80.00,0.000000
81,81.00,0.000000
82,82.00,0.000000
83,83.00,0.000000
84,84.00,0.000000
85,85.00,0.000000
86,86.00,0.000000
87,87.00,0.000000
88,88.00,0.000000
89,89.00,0.000000
90,90.00,0.000000
91,91.00,0.000000
92,92.00,0.000000
93,93.00,0.000000
94,94.00,0.000000
95,95.00,0.000000
96,96.00,0.000000
97,97.00,0.000000
98,98.00,0.000000
99,99.00,0.000000
100,100.00,0.000000
101,101.00,0.000000
102,102.00,0.000000
103,103.00,0.000000
104,104.00,0.000000
105,105.00,0.000000
106,106.00,0.000000
107,107.00,0.000000
108,108.00,0.000000
109,109.00,0.000000
110,110.00,0.000000
111,111.00,0.000000
112,112.00,0.000000
113,113.00,0.000000
114,114.00,0.000000
115,115.00,0.000000
116,116.00,0.000000
117,117.00,0.000000
118,118.00,0.000000
119,119.00,0.000000
120,120.00,0.000000
121,121.00,0.000000
122,122.00,0.000000
123,123.00,0.000000
124,124.00,0.000000
125,125.00,0.000000
126,126.00,0.000000
127,127.00,0.000000
128,128.00,0.000000
129,129.00,0.000000
130,130.00,0.000000
131,131.00,0.000000
132,132.00,0.000000
133,133.00,0.000000
134,134.00,0.000000
135,135.00,0.000000
136,136.00,0.000000
137,137.00,0.000000
138,138.00,0.000000
139,139.00,0.000000
140,140.00,0.000000
141,141.00,0.000000
142,142.00,0.000000
143,143.00,0.000000
144,144.00,0.000000
145,145.00,0.000000
146,146.00,0.000000
147,147.00,0.000000
148,148.00,0.000000
149,149.00,0.000000
150,150.00,0.000000
151,151.00,0.000000
152,152.00,0.000000
153,153.00,0.000000
154,154.00,0.000000
155,155.00,0.000000
156,156.00,0.000000
157,157.00,0.000000
158,158.00,0.000000
159,159.00,0.000000
160,160.00,0.000000
161,161.00,0.000000
162,162.00,0.000000
163,163.00,0.000000
164,164.00,0.000000
165,165.00,0.000000
166,166.00,0.000000
167,167.00,0.000000
168,168.00,0.000000
169,169.00,0.000000
170,170.00,0.000000
171,171.00,0.000000
172,172.00,0.000000
173,173.00,0.000000
174,174.00,0.000000
175,175.00,0.000000
176,176.00,0.000000
177,177.00,0.000000
178,178.00,0.000000
179,179.00,0.000000
180,180.00,0.000000
181,181.00,0.000000
182,182.00,0.000000
183,183.00,0.000000
184,184.00,0.000000
185,185.00,0.000000
186,186.00,0.000000
